#{"t_start": 1788341007.462975, "env_id": "None"}
r,l,t
-63744.098134,3600,105.385546
-75276.553674,3600,275.949258
-14375.769722,3600,380.831094
-30319.677823,3600,516.440982
-9734.689722,3600,673.368238
-7373.8475,3600,817.620887
-46072.342533,3600,1008.845087
-17623.477431,3600,1180.472677
-8191.193403,3600,1299.581716
-13919.426233,3600,1452.142187
-5005.17625,3600,1592.498406
-11433.447778,3600,1740.534153
-33138.346925,3600,1860.168512
-12192.087167,3600,2381.674172
-11492.520039,3600,2526.281778
-22468.98262,3600,2684.655792
-14025.873211,3600,2813.413934
-22973.415536,3600,2964.892431
-28189.869367,3600,3130.055359
-9152.229567,3600,3293.417559
-28373.352273,3600,3435.941421
-27314.732173,3600,3612.853259
-26870.322339,3600,3755.295458
-11632.955,3600,3889.855154
-10133.508125,3600,3992.944667
-5658.001667,3600,4128.855199
-21765.063206,3600,4304.099308
-27414.371529,3600,4782.490229
-13189.055556,3600,4896.084308
-21032.936679,3600,5025.669996
-20533.849133,3600,5190.393853
-30023.072154,3600,5379.030171
-29328.533345,3600,5545.256225
-27011.828115,3600,5677.697295
-11653.935,3600,5834.129502
-29207.540954,3600,5991.952617
-6807.255,3600,6246.117261
-16887.978919,3600,6377.751588
-32362.873594,3600,6534.676432
-6204.595,3600,6721.430434
-14486.316111,3600,6913.601074
-10356.255038,3600,7518.92199
-4664.17,3600,7819.608715
-9569.928889,3600,8010.852512
-9544.567292,3600,8262.371431
-21363.946797,3600,8476.4136
-21051.736824,3600,8669.006704
-7564.6725,3600,8901.529328
-24946.415009,3600,9204.016578
-8484.894653,3600,9345.089539
-26759.078785,3600,9563.165207
-6266.761111,3600,9785.904248
-12669.859436,3600,9986.290177
-21200.815823,3600,10128.58682
-13729.504653,3600,10299.609262
-17390.67712,3600,10901.000847
-12786.679514,3600,11071.015229
-9387.691597,3600,11205.582691
-13291.422664,3600,11364.832175
-3641.421667,3600,11543.182867
-21713.138532,3600,14576.530337
-9815.590417,3600,15402.65164
-3957.975556,3600,15500.012274
-13328.433086,3600,15630.369753
-21370.784424,3600,15806.558631
-28403.10856,3600,15984.144513
-69145.932834,3600,16153.210733
-35784.353719,3600,16369.680243
-28330.273473,3600,16564.766002
-19376.191803,3600,17178.592813
-13976.384167,3600,17331.368261
-15492.490628,3600,17520.443983
-10802.661736,3600,17700.77948
-13927.854669,3600,17876.150631
-12991.626181,3600,18016.273408
-32437.834859,3600,18189.066054
-22021.884493,3600,29141.218616
-6608.738125,3600,29274.109809
-27330.777446,3600,29376.175128
-5260.652778,3600,29512.062108
-12687.255119,3600,29703.408129
-12159.815903,3600,29880.502732
-12142.354167,3600,29994.14187
-17285.135866,3600,30477.660988
-4628.251111,3600,30599.28423
-5162.884583,3600,30721.079153
-3544.645278,3600,30819.795801
-10565.340139,3600,30942.151378
-21775.544581,3600,31072.147053
-10941.789236,3600,31185.759477
-29050.423247,3600,31283.086941
-5169.665,3600,31397.208775
-39437.962438,3600,31525.336604
-9925.743194,3600,31643.833429
-22060.115542,3600,31738.262775
-14153.451944,3600,31851.430876
-14805.853472,3600,31963.589072
-6166.804722,3600,32481.062916
-10740.100694,3600,32623.841774
-10413.116997,3600,32759.389562
-12698.9751,3600,32900.071142
-13169.033978,3600,33020.452774
-10090.835139,3600,33135.576138
-12848.063819,3600,33228.472635
-10292.984028,3600,33327.096435
-21241.6038,3600,42396.2258
-22574.397817,3600,42525.865955
-5879.062847,3600,42633.068227
-10216.288611,3600,42825.197111
-31469.786419,3600,43023.597637
-21599.38401,3600,43294.427002
-6052.919167,3600,44246.270319
-36753.719606,3600,44680.297328
-4334.229792,3600,88380.738874
-34661.531093,3600,88468.673183
-31401.181358,3600,88564.441669
-12605.094514,3600,88684.283007
-15172.680581,3600,88797.843122
-16566.287125,3600,88901.919761
-12122.175139,3600,88987.501506
-10786.162083,3600,89093.018254
-13283.847292,3600,89253.02568
-21022.527764,3600,89385.173193
-21094.674027,3600,89495.220208
-20931.63283,3600,89629.224192
-21194.850168,3600,90056.780977
-16108.036806,3600,90178.24004
-34354.57896,3600,90286.506622
-16374.493264,3600,90400.671424
-37161.589162,3600,90534.735212
-22430.762408,3600,90654.129133
-16667.142686,3600,90784.465511
-11884.3825,3600,90887.215645
-33175.060322,3600,91001.00808
-16418.201492,3600,91111.146802
-12138.875833,3600,91237.524647
-6664.4425,3600,91326.34302
-5749.446667,3600,91435.352969
-28666.346995,3600,91851.573744
